Country,Rice Production (Tons),Rank of Rice Production,Rice Production Per Person (Kg),Rank of Rice Production Per Person,Rice Acreage (Hectare),Rank of Rice Acreage,Rice Yield (Kg / Hectare),Rank of Rice Yield
Zambia, 29.6K,92.0,1.8,97, 24.6K,80.0,"1,203.8",106.0
Australia, 66.8K,81.0,2.7,90, 7.6K,93.0,"8,771.0",1.0
Panama, 305.0K,57.0,73.3,33, 89.6K,59.0,"3,405.6",69.0
Greece, 220.9K,61.0,20.5,58, 29.9K,73.0,"7,398.9",10.0
Togo, 147.1K,71.0,20.0,59, 89.7K,58.0,"1,639.8",96.0
Nicaragua, 468.1K,48.0,74.5,31, 73.9K,62.0,"6,335.3",22.0
Paraguay,1.1M,39.0,151.6,18, 162.0K,48.0,"6,600.0",18.0
Chad, 290.6K,58.0,18.9,60, 192.3K,41.0,"1,510.8",101.0
Bangladesh,54.6M,4.0,330.6,9,11.5M,3.0,"4,739.8",44.0
Liberia, 170.0K,67.0,38.8,45, 240.0K,38.0,708.3,113.0
Japan,10.5M,11.0,83.2,28,1.5M,15.0,"6,826.8",14.0
Solomon Islands, 2.8K,102.0,4.1,87, 1.8K,104.0,"1,512.6",100.0
Saudi Arabia,88,115.0,0.01,119,60,114.0,"1,466.7",103.0
Cuba, 377.7K,52.0,33.7,48, 108.4K,55.0,"3,484.3",67.0
Central African Republic, 9.8K,99.0,2.1,92, 5.8K,95.0,"1,689.0",95.0
Pakistan,11.1M,9.0,55.1,40,3.0M,10.0,"3,663.7",62.0
Spain, 778.8K,43.0,16.7,63, 103.4K,56.0,"7,533.9",9.0
Azerbaijan, 11.1K,96.0,1.1,101, 4.0K,97.0,"2,761.3",85.0
India,177.6M,2.0,132.9,19,43.8M,1.0,"4,057.7",56.0
Turkmenistan, 130.0K,74.0,22.2,57, 171.2K,47.0,759.4,112.0
Tajikistan, 106.4K,76.0,11.9,70, 12.4K,85.0,"8,588.2",2.0
Sudan, 32.0K,91.0,0.78,105, 11.5K,88.0,"2,773.0",84.0
Tanzania,3.5M,20.0,64.1,37,1.1M,17.0,"3,301.3",72.0
Rwanda, 131.6K,73.0,11.0,72, 32.9K,71.0,"3,999.8",58.0
Madagascar,4.2M,19.0,161.1,16, 815.7K,21.0,"5,187.2",38.0
Costa Rica, 153.8K,69.0,30.7,51, 31.7K,72.0,"4,858.5",41.0
Kenya, 160.6K,68.0,3.2,89, 23.5K,81.0,"6,836.3",13.0
North Korea,2.8M,26.0,109.5,22, 465.8K,30.0,"6,018.6",25.0
Republic of the Congo, 1.2K,106.0,0.23,108, 2.0K,101.0,598.0,114.0
Iraq, 574.7K,46.0,14.6,66, 127.7K,50.0,"4,501.4",48.0
Burkina Faso, 376.5K,53.0,18.6,61, 177.3K,46.0,"2,124.2",89.0
Niger, 121.8K,75.0,5.7,85, 26.7K,76.0,"4,553.6",47.0
Guyana,1.1M,,"1,342.3",1, 206.4K,,"5,086.5",
Somalia, 1.1K,107.0,0.08,114, 1.1K,105.0,"1,014.2",109.0
Colombia,3.0M,24.0,60.3,39, 531.2K,29.0,"5,671.2",30.0
Guatemala, 42.0K,86.0,2.4,91, 14.1K,84.0,"2,974.5",78.0
Peru,3.2M,23.0,102.1,24, 414.5K,32.0,"7,691.8",8.0
DR Congo,1.4M,32.0,17.0,62,1.8M,13.0,760.3,111.0
Portugal, 152.8K,70.0,14.8,65, 28.5K,74.0,"5,359.6",34.0
